# capturedAtLocal=2026-09-24T20:01:12.0582520+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# orientation=0
# keepX=377
# keepY=515
# occupiedCells=351
tileId	buildingId	ownerId	terrainFlags
67078	23	0	32768
67079	23	0	32768
67080	23	0	32768
67081	23	0	32768
67082	23	0	32768
67083	23	0	32768
67084	23	0	32768
67086	19	0	268468224
67087	19	0	268468224
67088	19	0	268468224
67089	19	0	268468224
67090	19	0	268468224
67091	19	0	268468224
67092	19	0	268468224
67597	23	0	32768
67598	23	0	32768
67599	23	0	32768
67600	23	0	32768
67601	23	0	32768
67602	23	0	32768
67603	23	0	32768
67605	19	0	268435456
67606	19	0	268435456
67607	19	0	268435456
67608	19	0	268435456
67609	19	0	268435456
67610	19	0	268435456
67611	19	0	268468224
68118	23	0	32768
68119	23	0	32768
68120	23	0	32768
68121	23	0	33792
68122	23	0	32768
68123	23	0	32768
68124	23	0	32768
68125	20	0	1024
68126	19	2	268435456
68127	19	2	268435456
68128	19	2	268435456
68129	19	2	268435456
68130	19	2	268435456
68131	19	0	268435456
68132	19	0	268468224
68641	23	0	32768
68642	23	0	32768
68643	23	0	33792
68644	23	0	33792
68645	23	0	33792
68646	23	0	32768
68647	23	0	32768
68648	21	0	0
68649	19	2	268435456
68650	19	2	268468224
68651	19	2	268468224
68652	19	2	268468224
68653	19	2	268435456
68654	19	0	268435456
68655	19	0	268468224
69166	23	0	32768
69167	23	0	32768
69168	23	0	32768
69169	23	0	33792
69170	23	0	32768
69171	23	0	32768
69172	23	0	32768
69173	22	0	1024
69174	19	2	268435456
69175	19	2	268468224
69176	19	2	268468224
69177	19	2	268468224
69178	19	2	268435456
69179	19	0	268435456
69180	19	0	268468224
69693	23	0	32768
69694	23	0	32768
69695	23	0	32768
69696	23	0	32768
69697	23	0	32768
69698	23	0	32768
69699	23	0	32768
69701	19	2	268435456
69702	19	2	268468224
69703	19	2	268468224
69704	19	2	268468224
69705	19	2	268435456
69706	19	0	268435456
69707	19	0	268468224
70222	23	0	32768
70223	23	0	32768
70224	23	0	32768
70225	23	0	32768
70226	23	0	32768
70227	23	0	32768
70228	23	0	32768
70230	19	2	268435456
70231	19	2	268435456
70232	19	2	268435456
70233	19	2	268435456
70234	19	2	268435456
70235	19	0	268435456
70236	19	0	268468224
70761	24	2	1282
70762	24	2	1282
70764	25	2	1282
70765	25	2	1282
71294	24	2	34050
71295	24	2	34050
71297	25	2	34050
71298	25	2	34050
72366	26	2	34050
72367	26	2	34050
72369	27	2	34050
72370	27	2	34050
72905	26	2	34050
72906	26	2	34050
72908	27	2	34050
72909	27	2	34050
111485	14	0	32768
111486	14	0	32768
111487	14	0	32768
111488	14	0	32768
111489	14	0	32768
111490	14	0	32768
111491	14	0	32768
111493	10	0	268468224
111494	10	0	268468224
111495	10	0	268468224
111496	10	0	268468224
111497	10	0	268468224
111498	10	0	268468224
111499	10	0	268468224
112154	14	0	32768
112155	14	0	32768
112156	14	0	32768
112157	14	0	32768
112158	14	0	32768
112159	14	0	32768
112160	14	0	32768
112162	10	0	268435456
112163	10	0	268435456
112164	10	0	268435456
112165	10	0	268435456
112166	10	0	268435456
112167	10	0	268435456
112168	10	0	268468224
112825	14	0	32768
112826	14	0	32768
112827	14	0	32768
112828	14	0	33792
112829	14	0	32768
112830	14	0	32768
112831	14	0	32768
112832	11	0	1024
112833	10	1	268435456
112834	10	1	268435456
112835	10	1	268435456
112836	10	1	268435456
112837	10	1	268435456
112838	10	0	268435456
112839	10	0	268468224
113498	14	0	32768
113499	14	0	32768
113500	14	0	33792
113501	14	0	33792
113502	14	0	33792
113503	14	0	32768
113504	14	0	32768
113505	12	0	0
113506	10	1	268435456
113507	10	1	268468224
113508	10	1	268468224
113509	10	1	268468224
113510	10	1	268435456
113511	10	0	268435456
113512	10	0	268468224
114173	14	0	32768
114174	14	0	32768
114175	14	0	32768
114176	14	0	33792
114177	14	0	32768
114178	14	0	32768
114179	14	0	32768
114180	13	0	1024
114181	10	1	268435456
114182	10	1	268468224
114183	10	1	268468224
114184	10	1	268468224
114185	10	1	268435456
114186	10	0	268435456
114187	10	0	268468224
114850	14	0	32768
114851	14	0	32768
114852	14	0	32768
114853	14	0	32768
114854	14	0	32768
114855	14	0	32768
114856	14	0	32768
114858	10	1	268435456
114859	10	1	268468224
114860	10	1	268468224
114861	10	1	268468224
114862	10	1	268435456
114863	10	0	268435456
114864	10	0	268468224
115529	14	0	32768
115530	14	0	32768
115531	14	0	32768
115532	14	0	32768
115533	14	0	32768
115534	14	0	32768
115535	14	0	32768
115537	10	1	268435456
115538	10	1	268435456
115539	10	1	268435456
115540	10	1	268435456
115541	10	1	268435456
115542	10	0	268435456
115543	10	0	268468224
116218	15	1	1282
116219	15	1	1282
116221	16	1	1282
116222	16	1	1282
116901	15	1	34050
116902	15	1	34050
116904	16	1	34050
116905	16	1	34050
118273	17	1	34050
118274	17	1	34050
118276	18	1	34050
118277	18	1	34050
118962	17	1	34050
118963	17	1	34050
118965	18	1	34050
118966	18	1	34050
161463	1	0	268468224
161464	1	0	268468224
161465	1	0	268468224
161466	1	0	268468224
161467	1	0	268468224
161468	1	0	268468224
161469	1	0	268468224
162260	1	0	268468224
162261	1	0	268468224
162262	1	0	268468224
162263	1	0	268468224
162264	1	0	268468224
162265	1	0	268468224
162266	1	0	268435456
163055	1	0	268468224
163056	1	0	268468224
163057	1	0	268468224
163058	1	0	268468224
163059	1	0	268468224
163060	1	0	268468224
163061	1	0	268435456
163062	6	0	1282
163063	6	0	1282
163065	7	0	1282
163066	7	0	1282
163848	1	0	268468224
163849	1	0	268468224
163850	1	0	268468224
163851	1	0	268468224
163852	1	0	268468224
163853	1	0	268468224
163854	1	0	268435456
163855	6	0	1282
163856	6	0	34050
163858	7	0	34050
163859	7	0	1282
164639	1	0	268468224
164640	1	0	268468224
164641	1	0	268468224
164642	1	0	268468224
164643	1	0	268468224
164644	1	0	268468224
164645	1	0	268435456
165428	1	0	268468224
165429	1	0	268468224
165430	1	0	268468224
165431	1	0	268468224
165432	1	0	268468224
165433	1	0	268468224
165434	1	0	268435456
165435	8	0	1282
165436	8	0	34050
165438	9	0	34050
165439	9	0	1282
166215	1	0	268468224
166216	1	0	268468224
166217	1	0	268468224
166218	1	0	268468224
166219	1	0	268468224
166220	1	0	268468224
166221	1	0	268435456
166222	8	0	1282
166223	8	0	1282
166225	9	0	1282
166226	9	0	1282
167002	2	0	33792
167003	3	0	32768
167004	4	0	33792
167783	5	0	32768
167784	5	0	32768
167785	5	0	32768
167786	5	0	32768
167787	5	0	32768
167788	5	0	32768
167789	5	0	32768
168564	5	0	32768
168565	5	0	32768
168566	5	0	32768
168567	5	0	32768
168568	5	0	32768
168569	5	0	32768
168570	5	0	32768
169343	5	0	32768
169344	5	0	32768
169345	5	0	32768
169346	5	0	33792
169347	5	0	32768
169348	5	0	32768
169349	5	0	32768
170120	5	0	32768
170121	5	0	32768
170122	5	0	33792
170123	5	0	33792
170124	5	0	33792
170125	5	0	32768
170126	5	0	32768
170895	5	0	32768
170896	5	0	32768
170897	5	0	32768
170898	5	0	33792
170899	5	0	32768
170900	5	0	32768
170901	5	0	32768
171668	5	0	32768
171669	5	0	32768
171670	5	0	32768
171671	5	0	32768
171672	5	0	32768
171673	5	0	32768
171674	5	0	32768
172439	5	0	32768
172440	5	0	32768
172441	5	0	32768
172442	5	0	32768
172443	5	0	32768
172444	5	0	32768
172445	5	0	32768
