# capturedAtLocal=2026-09-24T20:25:10.7937655+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# orientation=2
# keepX=254
# keepY=379
# occupiedCells=351
tileId	buildingId	ownerId	terrainFlags
123962	1	0	268468224
123963	1	0	268468224
123964	1	0	268468224
123965	1	0	268468224
123966	1	0	268468224
123967	1	0	268468224
123968	1	0	268468224
124667	1	0	268468224
124668	1	0	268468224
124669	1	0	268468224
124670	1	0	268468224
124671	1	0	268468224
124672	1	0	268468224
124673	1	0	268468224
125374	1	0	268468224
125375	1	0	268468224
125376	1	0	268468224
125377	1	0	268468224
125378	1	0	268468224
125379	1	0	268468224
125380	1	0	268468224
125381	6	0	1282
125382	6	0	1282
125384	7	0	1282
125385	7	0	1282
126083	1	0	268468224
126084	1	0	268468224
126085	1	0	268468224
126086	1	0	268468224
126087	1	0	268468224
126088	1	0	268468224
126089	1	0	268468224
126090	6	0	1282
126091	6	0	34050
126093	7	0	34050
126094	7	0	1282
126794	1	0	268468224
126795	1	0	268468224
126796	1	0	268468224
126797	1	0	268468224
126798	1	0	268468224
126799	1	0	268468224
126800	1	0	268468224
127507	1	0	268468224
127508	1	0	268468224
127509	1	0	268468224
127510	1	0	268468224
127511	1	0	268468224
127512	1	0	268468224
127513	1	0	268468224
127514	8	0	1282
127515	8	0	34050
127517	9	0	34050
127518	9	0	1282
128222	1	0	268468224
128223	1	0	268468224
128224	1	0	268468224
128225	1	0	268468224
128226	1	0	268468224
128227	1	0	268468224
128228	1	0	268468224
128229	8	0	1282
128230	8	0	1282
128232	9	0	1282
128233	9	0	1282
128941	2	0	33792
128942	3	0	32768
128943	4	0	33792
129658	5	0	32768
129659	5	0	32768
129660	5	0	32768
129661	5	0	32768
129662	5	0	32768
129663	5	0	32768
129664	5	0	32768
130379	5	0	32768
130380	5	0	32768
130381	5	0	32768
130382	5	0	32768
130383	5	0	32768
130384	5	0	32768
130385	5	0	32768
131102	5	0	32768
131103	5	0	32768
131104	5	0	32768
131105	5	0	33792
131106	5	0	32768
131107	5	0	32768
131108	5	0	32768
131827	5	0	32768
131828	5	0	32768
131829	5	0	33792
131830	5	0	33792
131831	5	0	33792
131832	5	0	32768
131833	5	0	32768
132554	5	0	32768
132555	5	0	32768
132556	5	0	32768
132557	5	0	33792
132558	5	0	32768
132559	5	0	32768
132560	5	0	32768
133283	5	0	32768
133284	5	0	32768
133285	5	0	32768
133286	5	0	32768
133287	5	0	32768
133288	5	0	32768
133289	5	0	32768
134014	5	0	32768
134015	5	0	32768
134016	5	0	32768
134017	5	0	32768
134018	5	0	32768
134019	5	0	32768
134020	5	0	32768
156693	14	0	32768
156694	14	0	32768
156695	14	0	32768
156696	14	0	32768
156697	14	0	32768
156698	14	0	32768
156699	14	0	32768
156701	10	0	268468224
156702	10	0	268468224
156703	10	0	268468224
156704	10	0	268468224
156705	10	0	268468224
156706	10	0	268468224
156707	10	0	268468224
157486	14	0	32768
157487	14	0	32768
157488	14	0	32768
157489	14	0	32768
157490	14	0	32768
157491	14	0	32768
157492	14	0	32768
157494	10	0	268468224
157495	10	0	268468224
157496	10	0	268468224
157497	10	0	268468224
157498	10	0	268468224
157499	10	0	268468224
157500	10	0	268468224
158281	14	0	32768
158282	14	0	32768
158283	14	0	32768
158284	14	0	33792
158285	14	0	32768
158286	14	0	32768
158287	14	0	32768
158288	11	0	33792
158289	10	3	268435456
158290	10	3	268435456
