# capturedAtLocal=2026-09-24T17:23:08.0680102+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# orientation=0
# keepX=254
# keepY=580
# occupiedCells=1666
tileId	buildingId	ownerId	terrainFlags
15221	2	0	33792
15222	2	0	33792
15223	2	0	33792
15224	2	0	33792
15225	2	0	33792
15226	2	0	33792
15227	2	0	33792
15228	2	0	33792
15468	2	0	33792
15469	2	0	33792
15470	2	0	33792
15471	2	0	33792
15472	2	0	33792
15473	2	0	33792
15474	2	0	33792
15475	2	0	33792
15717	2	0	33792
15718	2	0	33792
15719	2	0	33792
15720	2	0	33792
15721	2	0	33792
15722	2	0	33792
15723	2	0	33792
15724	2	0	33792
15968	2	0	33792
15969	2	0	33792
15970	2	0	33792
15971	2	0	33792
15972	2	0	33792
15973	2	0	33792
15974	2	0	33792
15975	2	0	33792
16221	2	0	33792
16222	2	0	33792
16223	2	0	33792
16224	2	0	33792
16225	2	0	33792
16226	2	0	33792
16227	2	0	33792
16228	2	0	33792
16476	2	0	33792
16477	2	0	33792
16478	2	0	33792
16479	2	0	33792
16480	2	0	33792
16481	2	0	33792
16482	2	0	33792
16483	2	0	33792
16733	2	0	33792
16734	2	0	33792
16735	2	0	33792
16736	2	0	33792
16737	2	0	33792
16738	2	0	33792
16739	2	0	33792
16740	2	0	33792
16992	2	0	33792
16993	2	0	33792
16994	2	0	33792
16995	2	0	33792
16996	2	0	33792
16997	2	0	33792
16998	2	0	33792
16999	2	0	33792
17599	77	0	33792
17600	77	0	33792
17601	77	0	33792
17602	77	0	33792
17603	77	0	33792
17604	77	0	33792
17605	77	0	33792
17606	77	0	33792
17866	77	0	33792
17867	77	0	33792
17868	77	0	33792
17869	77	0	33792
17870	77	0	33792
17871	77	0	33792
17872	77	0	33792
17873	77	0	33792
18043	1	0	33792
18044	1	0	33792
18045	1	0	33792
18046	1	0	33792
18047	1	0	33792
18048	1	0	33792
18049	1	0	33792
18050	1	0	33792
18135	77	0	33792
18136	77	0	33792
18137	77	0	33792
18138	77	0	33792
18139	77	0	33792
18140	77	0	33792
18141	77	0	33792
18142	77	0	33792
18312	1	0	33792
18313	1	0	33792
18314	1	0	33792
18315	1	0	33792
18316	1	0	33792
18317	1	0	33792
18318	1	0	33792
18319	1	0	33792
18406	77	0	33792
18407	77	0	33792
18408	77	0	33792
18409	77	0	33792
18410	77	0	33792
18411	77	0	33792
18412	77	0	33792
18413	77	0	33792
18583	1	0	33792
18584	1	0	33792
18585	1	0	33792
18586	1	0	33792
18587	1	0	33792
18588	1	0	33792
18589	1	0	33792
18590	1	0	33792
18679	77	0	33792
18680	77	0	33792
18681	77	0	33792
18682	77	0	33792
18683	77	0	33792
18684	77	0	33792
18685	77	0	33792
18686	77	0	33792
18856	1	0	33792
18857	1	0	33792
18858	1	0	33792
18859	1	0	33792
18860	1	0	33792
18861	1	0	33792
18862	1	0	33792
18863	1	0	33792
18954	77	0	33792
18955	77	0	33792
18956	77	0	33792
18957	77	0	33792
18958	77	0	33792
18959	77	0	33792
18960	77	0	33792
18961	77	0	33792
19131	1	0	33792
19132	1	0	33792
19133	1	0	33792
19134	1	0	33792
19135	1	0	33792
19136	1	0	33792
19137	1	0	33792
19138	1	0	33792
19231	77	0	33792
19232	77	0	33792
19233	77	0	33792
19234	77	0	33792
19235	77	0	33792
19236	77	0	33792
19237	77	0	33792
19238	77	0	33792
19408	1	0	33792
19409	1	0	33792
19410	1	0	33792
19411	1	0	33792
19412	1	0	33792
19413	1	0	33792
19414	1	0	33792
19415	1	0	33792
19510	77	0	33792
19511	77	0	33792
19512	77	0	33792
19513	77	0	33792
19514	77	0	33792
19515	77	0	33792
19516	77	0	33792
19517	77	0	33792
19687	1	0	33792
19688	1	0	33792
19689	1	0	33792
19690	1	0	33792
19691	1	0	33792
19692	1	0	33792
19693	1	0	33792
19694	1	0	33792
19968	1	0	33792
19969	1	0	33792
19970	1	0	33792
19971	1	0	33792
19972	1	0	33792
19973	1	0	33792
19974	1	0	33792
19975	1	0	33792
58401	225	0	32768
58407	305	0	32768
58883	226	0	32768
58886	224	0	32768
58890	218	0	32768
59373	223	0	32768
59382	217	0	32768
59385	304	0	32768
59861	222	0	32768
59864	219	0	32768
59868	208	0	32768
59877	216	0	32768
60347	227	0	32768
60349	220	0	32768
60356	209	0	32768
60366	212	0	32768
60367	206	0	32768
60369	303	0	32768
60370	205	0	32768
60373	215	0	32768
60374	298	0	32768
60837	228	0	32768
60856	207	0	32768
60867	204	0	32768
61330	221	0	32768
61331	229	0	32768
61334	248	0	32768
61363	302	0	32768
61367	214	0	32768
61368	211	0	32768
61829	247	0	32768
61857	213	0	32768
62359	299	0	32768
62361	203	0	32768
63328	230	0	32768
63367	300	0	32768
63368	301	0	32768
63834	249	0	32768
63874	210	0	32768
64380	202	0	32768
64890	194	0	32768
64891	192	0	32768
65871	250	0	32768
65915	297	0	32768
66405	59	0	33792
66406	59	0	33792
66407	59	0	33792
66408	59	0	33792
66409	59	0	33792
66428	201	0	32768
66903	246	0	32768
66914	30	0	33792
66915	30	6	33792
66916	30	6	33792
66917	30	6	33792
66918	29	6	33792
66919	29	6	33792
66920	29	0	33792
66921	29	0	33792
66922	59	0	33792
66923	59	0	33792
66924	59	0	33792
66925	59	0	33792
66926	59	0	33792
66930	49	0	33792
66931	49	0	268468224
66932	49	0	268468224
66933	49	0	268468224
66934	49	0	268468224
66935	49	0	33792
66946	193	0	32768
67421	251	0	32768
67422	231	0	32768
67433	30	0	33792
67434	30	6	33792
67435	30	6	33792
67436	30	6	33792
67437	29	6	33792
67438	29	6	33792
67439	29	0	33792
67440	29	0	33792
67441	59	0	33792
67442	59	0	33792
67443	59	0	33792
67444	59	0	33792
67445	59	0	33792
67449	49	0	268468224
67450	49	0	268468224
67451	49	0	268468224
67452	49	0	268468224
67453	49	0	268468224
67454	49	0	268468224
67467	294	0	32768
67941	254	0	32768
67942	255	0	32768
67954	30	0	33792
67955	30	6	33792
67956	30	6	33792
67957	30	6	33792
67958	29	6	33792
67959	29	6	33792
67960	29	0	33792
67961	29	0	33792
67962	59	0	33792
67963	59	0	33792
67964	59	0	33792
67965	59	0	33792
67966	59	0	33792
67970	49	0	268468224
67971	49	0	268468224
67972	49	0	268468224
67973	49	0	268468224
67974	49	0	268468224
67975	49	0	268468224
67987	197	0	32768
68477	30	0	33792
68478	30	6	33792
68479	30	6	33792
68480	30	6	33792
68481	29	6	33792
68482	29	6	33792
68483	29	0	33792
68484	29	0	33792
68485	59	0	33792
68486	59	0	33792
68487	59	0	33792
68488	59	0	33792
68489	59	0	33792
68493	49	0	268468224
68494	49	0	268468224
68495	49	0	268468224
68496	49	0	268468224
68497	49	0	268468224
68498	49	0	268468224
69005	45	6	32768
69006	45	6	32768
69007	45	6	32768
69008	45	0	32768
69009	45	0	32768
69010	44	0	33792
69011	44	0	33792
69012	44	0	33792
69013	44	0	33792
69014	44	0	33792
69018	49	0	268468224
69019	49	0	268468224
69020	49	0	268468224
69021	49	0	268468224
69022	49	0	268468224
69023	49	0	268468224
69035	196	0	32768
69528	46	0	33792
69529	46	0	33792
69530	46	0	33792
69531	46	0	33792
69532	45	0	32768
69533	45	0	32768
69534	45	0	32768
69535	45	0	32768
69536	45	0	32768
69537	44	0	33792
69538	44	0	33792
69539	44	0	33792
69540	44	0	33792
69541	44	0	33792
69545	49	0	33792
69546	49	0	268468224
69547	49	0	268468224
69548	49	0	268468224
69549	49	0	268468224
69550	49	0	33792
70046	252	0	32768
70057	46	0	33792
70058	46	0	33792
70059	46	0	33792
70060	46	0	33792
70061	45	0	32768
70062	45	0	32768
70063	45	0	32768
70064	45	0	32768
70065	45	0	32768
70066	44	0	33792
70067	44	0	33792
70068	44	0	33792
70069	44	0	33792
70070	44	0	33792
70091	195	0	32768
70092	293	0	32768
70576	253	0	32768
70577	256	0	32768
70588	46	0	33792
70589	46	0	33792
70590	46	0	33792
70591	46	0	33792
70592	45	0	32768
70593	45	0	32768
70594	45	0	32768
70595	45	0	32768
70596	45	0	32768
70597	44	0	33792
70598	44	0	33792
70599	44	0	33792
70600	44	0	33792
70601	44	0	33792
70603	25	0	33792
70604	25	0	33792
70605	25	0	33792
70606	25	0	33792
70607	24	0	33792
70608	24	0	33792
70609	24	0	33792
70610	24	0	33792
71121	46	0	33792
71122	46	0	33792
71123	46	0	33792
71124	46	0	33792
71125	45	0	32768
71126	45	0	32768
71127	45	0	32768
71128	45	0	32768
71129	45	0	32768
71130	44	0	33792
71131	44	0	33792
71132	44	0	33792
71133	44	0	33792
71134	44	0	33792
71136	25	0	33792
71137	25	0	33792
71138	25	0	33792
71139	25	0	33792
71140	24	0	33792
71141	24	0	33792
71142	24	0	33792
71143	24	0	33792
71157	295	0	32768
71644	262	0	32768
71671	25	0	33792
71672	25	0	33792
71673	25	0	33792
71674	25	0	33792
71675	24	0	33792
71676	24	0	33792
71677	24	0	33792
71678	24	0	33792
71690	198	0	32768
71693	296	0	32768
72192	60	0	33792
72193	60	0	268468224
72194	60	0	33792
72198	36	0	33792
72199	36	0	33792
72200	36	0	33792
72201	36	0	33792
72202	36	0	33792
72208	25	0	33792
72209	25	0	33792
72210	25	6	33792
72211	25	6	33792
72212	24	6	33792
72213	24	6	33792
72214	24	6	33792
72215	24	0	33792
72720	261	0	32768
72731	60	0	268468224
72732	60	0	268468224
72733	60	0	268468224
72737	36	0	33792
72738	36	0	33792
72739	36	0	33792
72740	36	0	33792
72741	36	0	33792
72743	26	0	33792
72744	26	0	33792
72745	26	0	33792
72746	26	0	33792
72747	23	0	33792
72748	23	0	33792
72749	23	6	33792
72750	23	6	33792
72751	22	6	33792
72752	22	6	33792
72753	22	6	33792
72754	22	0	33792
72767	199	0	32768
72769	289	0	32768
73263	263	0	32768
73272	60	0	33792
73273	60	0	268468224
73274	60	0	33792
73278	36	0	33792
73279	36	0	33792
73280	36	0	33792
73281	36	0	33792
73282	36	0	33792
73284	26	0	33792
73285	26	0	33792
73286	26	0	33792
73287	26	0	33792
73288	23	0	33792
73289	23	0	33792
73290	23	0	33792
73291	23	6	33792
73292	22	6	33792
73293	22	6	33792
73294	22	6	33792
73295	22	0	33792
73803	257	0	32768
73821	36	0	33792
73822	36	0	33792
73823	36	0	33792
73824	36	0	33792
73825	36	0	33792
73827	26	0	33792
73828	26	0	33792
73829	26	0	33792
73830	26	0	33792
73831	23	0	33792
73832	23	0	33792
73833	23	0	33792
73834	23	0	33792
73835	22	6	33792
73836	22	6	33792
73837	22	6	33792
73838	22	0	33792
73852	292	0	32768
74366	36	0	33792
74367	36	0	33792
74368	36	0	33792
74369	36	0	33792
74370	36	0	33792
74372	26	0	33792
74373	26	0	33792
74374	26	0	33792
74375	26	0	33792
74376	23	0	33792
74377	23	0	33792
74378	23	0	33792
74379	23	0	33792
74380	22	0	33792
74381	22	6	33792
74382	22	6	33792
74383	22	0	33792
74396	200	0	32768
74398	288	0	32768
74896	264	0	32768
74911	55	0	33792
74912	55	0	33792
74913	55	0	33792
74914	55	0	33792
75460	55	0	33792
75461	55	0	33792
75462	55	0	33792
75463	55	0	33792
75465	16	0	32768
75466	16	0	32768
75467	16	0	32768
75468	16	0	32768
75469	16	0	32768
75470	16	0	32768
75471	16	0	32768
75473	12	0	268468224
75474	12	0	268468224
75475	12	0	268468224
75476	12	0	268468224
75477	12	0	268468224
75478	12	0	268468224
75479	12	0	268468224
75995	147	0	32768
75996	148	0	32768
75997	150	0	32768
76011	55	0	33792
76012	55	0	33792
76013	55	0	33792
76014	55	0	33792
76016	16	0	32768
76017	16	0	32768
76018	16	0	32768
76019	16	0	32768
76020	16	0	32768
76021	16	0	32768
76022	16	0	32768
76024	12	0	268435456
76025	12	0	268435456
76026	12	0	268435456
76027	12	0	268435456
76028	12	0	268435456
76029	12	0	268435456
76030	12	0	268468224
76548	265	0	32768
76549	149	0	32768
76564	55	0	33792
76565	55	0	33792
76566	55	0	33792
76567	55	0	33792
76569	16	0	32768
76570	16	0	32768
76571	16	0	32768
76572	16	0	33792
76573	16	0	32768
76574	16	0	32768
76575	16	0	32768
76576	13	0	1024
76577	12	6	268435456
76578	12	6	268435456
76579	12	6	268435456
76580	12	6	268435456
76581	12	6	268435456
76582	12	0	268435456
76583	12	0	268468224
76598	191	0	32768
77101	271	0	32768
77104	146	0	32768
77112	62	0	32768
77113	63	0	32768
77114	65	0	32768
77115	64	0	32768
77119	40	0	33792
77120	40	0	33792
77121	40	0	33792
77122	40	0	33792
77124	16	0	32768
77125	16	0	32768
77126	16	0	33792
77127	16	0	33792
77128	16	0	33792
77129	16	0	32768
77130	16	0	32768
77131	14	0	0
77132	12	6	268435456
77133	12	6	268468224
77134	12	6	268468224
77135	12	6	268468224
77136	12	6	268435456
77137	12	0	268435456
77138	12	0	268468224
77153	291	0	32768
77658	270	0	32768
77661	145	0	32768
77662	48	0	33792
77663	48	0	32768
77664	48	0	32768
77665	48	0	32768
77666	48	0	33792
77667	47	1	33024
77668	47	1	33024
77669	47	1	33024
77670	47	1	33024
77671	47	1	33024
77672	66	0	32768
77676	40	0	33792
77677	40	0	33792
77678	40	0	33792
77679	40	0	33792
