# capturedAtLocal=2026-09-24T17:20:04.3750490+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=2
# candidateId=1
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar8.aivjson
# aivJsonSha256=0d9305f8ed06f6de8161fd1b2d62d030541e24994ab204afec56101277c38a9d
# orientation=2
# originX=198
# originY=231
# keepX=241
# keepY=274
# evaluatedCells=4798
# nativeBlockedCells=53
# resultGridBlockedCells=53
# validatorCalls=4798
# validatorBlockedCells=53
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
1	37	235	232	313	313	124	0	False
1	38	236	232	313	313	124	0	False
2	37	235	233	313	313	124	0	False
2	38	236	233	313	313	124	0	False
4	40	238	235	106	106	102	0	False
4	41	239	235	106	106	102	0	False
4	42	240	235	106	106	102	0	False
4	43	241	235	106	106	102	0	False
4	44	242	235	106	106	102	0	False
4	45	243	235	106	106	102	0	False
4	46	244	235	106	106	102	0	False
4	47	245	235	106	106	102	0	False
4	48	246	235	106	106	102	0	False
4	49	247	235	106	106	102	0	False
4	50	248	235	106	106	102	0	False
4	51	249	235	106	106	102	0	False
4	52	250	235	106	106	102	0	False
4	53	251	235	106	106	102	0	False
4	54	252	235	106	106	102	1	True
4	55	253	235	106	106	102	1	True
4	56	254	235	106	106	102	1	True
4	57	255	235	106	106	102	1	True
4	59	257	235	106	106	102	1	True
4	60	258	235	106	106	102	1	True
4	61	259	235	106	106	102	1	True
5	36	234	236	106	106	102	0	False
5	37	235	236	106	106	102	0	False
5	38	236	236	106	106	102	0	False
5	39	237	236	106	106	102	0	False
5	40	238	236	106	106	102	0	False
5	41	239	236	106	106	102	0	False
5	42	240	236	106	106	102	0	False
5	43	241	236	106	106	102	0	False
5	44	242	236	106	106	102	0	False
5	45	243	236	106	106	102	0	False
5	46	244	236	106	106	102	0	False
5	47	245	236	106	106	102	0	False
5	48	246	236	106	106	102	0	False
5	49	247	236	106	106	102	0	False
5	50	248	236	106	106	102	0	False
5	51	249	236	106	106	102	0	False
5	52	250	236	106	106	102	0	False
5	53	251	236	106	106	102	0	False
5	54	252	236	106	106	102	1	True
5	55	253	236	106	106	102	1	True
5	56	254	236	106	106	102	1	True
5	57	255	236	106	106	102	1	True
5	58	256	236	106	106	102	1	True
5	59	257	236	106	106	102	1	True
5	60	258	236	106	106	102	1	True
5	61	259	236	106	106	102	1	True
5	62	260	236	106	106	102	1	True
5	63	261	236	106	106	102	1	True
5	64	262	236	106	106	102	1	True
6	34	232	237	106	106	102	0	False
6	35	233	237	106	106	102	0	False
6	36	234	237	106	106	102	0	False
6	37	235	237	106	106	102	0	False
6	38	236	237	106	106	102	0	False
6	39	237	237	106	106	102	0	False
6	40	238	237	106	106	102	0	False
6	41	239	237	106	106	102	0	False
6	42	240	237	106	106	102	0	False
6	43	241	237	106	106	102	0	False
6	44	242	237	106	106	102	0	False
6	45	243	237	106	106	102	0	False
6	46	244	237	106	106	102	0	False
6	47	245	237	106	106	102	0	False
6	48	246	237	106	106	102	0	False
6	49	247	237	106	106	102	0	False
6	50	248	237	106	106	102	0	False
6	51	249	237	106	106	102	0	False
6	52	250	237	106	106	102	0	False
6	53	251	237	106	106	102	0	False
6	54	252	237	106	106	102	1	True
6	55	253	237	106	106	102	1	True
