# capturedAtLocal=2026-09-24T23:02:25.3209044+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# orientation=0
# keepX=452
# keepY=495
# occupiedCells=4448
tileId	buildingId	ownerId	terrainFlags
78993	1	0	268468224
78994	1	0	268468224
78995	1	0	268468224
78996	1	0	268468224
78997	1	0	268468224
78998	1	0	268468224
78999	1	0	268468224
79556	1	0	268468224
79557	1	0	268468224
79558	1	0	268468224
79559	1	0	268468224
79560	1	0	268468224
79561	1	0	268468224
79562	1	0	268468224
80121	1	0	268468224
80122	1	0	268468224
80123	1	0	268468224
80124	1	0	268468224
80125	1	0	268468224
80126	1	0	268468224
80127	1	0	268468224
80128	6	0	1282
80129	6	0	1282
80131	7	0	1282
80132	7	0	1282
80688	1	0	268468224
80689	1	0	268468224
80690	1	0	268468224
80691	1	0	268468224
80692	1	0	268468224
80693	1	0	268468224
80694	1	0	268468224
80695	6	0	1282
80696	6	0	34050
80698	7	0	34050
80699	7	0	1282
81257	1	0	268468224
81258	1	0	268468224
81259	1	0	268468224
81260	1	0	268468224
81261	1	0	268468224
81262	1	0	268468224
81263	1	0	268468224
81828	1	0	268468224
81829	1	0	268468224
81830	1	0	268468224
81831	1	0	268468224
81832	1	0	268468224
81833	1	0	268468224
81834	1	0	268468224
81835	8	0	1282
81836	8	0	34050
81838	9	0	34050
81839	9	0	1282
82401	1	0	268468224
82402	1	0	268468224
82403	1	0	268468224
82404	1	0	268468224
82405	1	0	268468224
82406	1	0	268468224
82407	1	0	268468224
82408	8	0	1282
82409	8	0	1282
82411	9	0	1282
82412	9	0	1282
82978	2	0	33792
82979	3	0	32768
82980	4	0	33792
83553	5	0	32768
83554	5	0	32768
83555	5	0	32768
83556	5	0	32768
83557	5	0	32768
83558	5	0	32768
83559	5	0	32768
84132	5	0	32768
84133	5	0	32768
84134	5	0	32768
